Date,Visits,UniqueVisitors,Pageviews
1/1/2018,10620,9575,45765
1/2/2018,8912,8061,42513
1/3/2018,9073,8074,42334
1/4/2018,9225,8290,46141
1/5/2018,14470,13253,74009
1/6/2018,14082,12765,66577
1/7/2018,9546,8724,43839
1/8/2018,11048,9991,45218
1/9/2018,8998,8043,42235
1/10/2018,9574,8630,43817
1/11/2018,8963,7858,43594
1/12/2018,10996,9795,53147
1/13/2018,10942,9923,48806
1/14/2018,8512,7773,39729
1/15/2018,7996,7008,41490
1/16/2018,9442,8370,45487
1/17/2018,8323,7412,40152
1/18/2018,8326,7431,40744
1/19/2018,10733,9530,51035
1/20/2018,11493,10359,52138
1/21/2018,10333,9446,49331
1/22/2018,10734,9640,52800
1/23/2018,9804,8813,49617
1/24/2018,9476,8363,49916
1/25/2018,9724,8651,48253
1/26/2018,12024,10816,57542
1/27/2018,12703,11467,60628
1/28/2018,11859,10671,54237
1/29/2018,18045,16283,96096
1/30/2018,14406,12880,70320
1/31/2018,11095,9821,51028
2/1/2018,13007,11782,58450
2/2/2018,13633,12316,63343
2/3/2018,13965,12721,63216
2/4/2018,11688,10742,50622
2/5/2018,10339,9287,53738
2/6/2018,9340,8299,45692
2/7/2018,10230,9136,48108
2/8/2018,10617,9384,48438
2/9/2018,12643,11335,59701
2/10/2018,13211,11886,61728
2/11/2018,10063,9007,45233
2/12/2018,9122,7981,43115
2/13/2018,9375,8212,46274
2/14/2018,11933,10696,61384
2/15/2018,10086,8826,51484
2/16/2018,12015,10802,59796
2/17/2018,12639,11399,59589
2/18/2018,8811,8043,41595
2/19/2018,10226,8964,52365
2/20/2018,10228,8905,50331
2/21/2018,9570,8290,46016
2/22/2018,9943,8833,49236
2/23/2018,11883,10750,56258
2/24/2018,11585,10638,50929
2/25/2018,8238,7402,33833
2/26/2018,8725,7710,41842
2/27/2018,9074,7934,43168
2/28/2018,8824,7827,41387
3/1/2018,10059,9035,44621
3/2/2018,11984,10952,53541
3/3/2018,13414,12215,60958
3/4/2018,11147,10052,53604
3/5/2018,10677,9493,51504
3/6/2018,13988,12395,63748
3/7/2018,11367,9934,52270
3/8/2018,9892,8641,48357
3/9/2018,13051,11804,63938
3/10/2018,13742,12493,57513
3/11/2018,11018,9962,49664
3/12/2018,8953,7837,43417
3/13/2018,8778,7621,42122
3/14/2018,8637,7532,41781
3/15/2018,9361,8198,43903
3/16/2018,11259,10115,52041
3/17/2018,11686,10593,54340
3/18/2018,9633,8772,45816
3/19/2018,8619,7657,42340
3/20/2018,8240,7274,39715
3/21/2018,8497,7404,40760
3/22/2018,8194,7249,38180
3/23/2018,11279,10021,49404
3/24/2018,11390,10260,51078
3/25/2018,8525,7686,37580
3/26/2018,7998,7034,37158
3/27/2018,9211,8045,43755
3/28/2018,8774,7680,36382
3/29/2018,9840,8622,40979
3/30/2018,10260,9322,42571
3/31/2018,9980,8971,40513
4/1/2018,9952,9087,39056
4/2/2018,10140,9155,41993
4/3/2018,8959,8025,37140
4/4/2018,9256,8158,39515
4/5/2018,9449,8365,41957
4/6/2018,10868,9568,46897
4/7/2018,10625,9555,43047
4/8/2018,9191,8252,38045
4/9/2018,8570,7510,37175
4/10/2018,9944,8840,42247
4/11/2018,9920,8726,42905
4/12/2018,10066,8856,42727
4/13/2018,10965,9804,43364
4/14/2018,9871,8893,37568
4/15/2018,9093,8208,35507
4/16/2018,7862,6930,32852
4/17/2018,7611,6544,32700
4/18/2018,7193,6210,30488
4/19/2018,7085,6263,30021
4/20/2018,8706,7747,36397
4/21/2018,8746,7866,34082
4/22/2018,7749,6984,30861
4/23/2018,8280,7210,34224
4/24/2018,5816,5076,25708
4/25/2018,169,144,189
4/26/2018,82,72,91
4/27/2018,62,47,64
4/28/2018,34,28,38
4/29/2018,24,21,26
4/30/2018,3935,3671,18209
5/1/2018,10186,9019,46279
5/2/2018,16765,14181,64087
5/3/2018,11551,9929,53492
5/4/2018,10929,9618,48331
5/5/2018,8777,7753,33900
5/6/2018,7841,7040,30736
5/7/2018,7604,6808,33324
5/8/2018,8094,7073,37077
5/9/2018,7879,6947,35015
5/10/2018,8303,7260,35968
5/11/2018,9954,8819,42481
5/12/2018,9933,8978,38323
5/13/2018,7731,7025,30645
5/14/2018,7001,6107,30795
5/15/2018,7652,6623,36304
5/16/2018,8084,6981,38352
5/17/2018,7746,6742,36406
5/18/2018,8693,7602,36321
5/19/2018,7576,6881,28115
5/20/2018,7066,6370,28251
5/21/2018,7121,6129,31201
5/22/2018,7072,6098,33102
5/23/2018,7181,6254,32534
5/24/2018,7373,6375,32569
5/25/2018,9547,8459,39848
5/26/2018,8402,7556,32627
5/27/2018,8297,7510,33087
5/28/2018,7596,6843,32397
5/29/2018,7776,6804,34669
5/30/2018,8365,7318,37677
5/31/2018,8582,7551,37251
6/1/2018,10420,9259,42713
6/2/2018,11135,10226,41950
6/3/2018,8155,7431,31495
6/4/2018,8438,7472,36808
6/5/2018,7954,6993,33945
6/6/2018,7820,6889,33308
6/7/2018,8160,7335,34821
6/8/2018,9497,8531,41521
6/9/2018,8813,7965,35521
6/10/2018,7572,6846,30813
6/11/2018,7219,6425,33436
6/12/2018,7392,6447,33499
6/13/2018,7667,6749,32732
6/14/2018,7494,6649,33438
6/15/2018,9490,8627,38275
6/16/2018,9943,9011,39794
6/17/2018,8798,8019,34697
6/18/2018,8032,7030,35451
6/19/2018,5558,4806,26053
6/20/2018,8596,7491,37911
6/21/2018,8088,7125,33992
6/22/2018,8714,7834,35510
6/23/2018,9457,8445,38482
6/24/2018,7995,7198,33674
6/25/2018,9106,8092,47292
6/26/2018,7855,6903,35394
6/27/2018,7578,6727,34385
6/28/2018,7804,6883,32484
6/29/2018,9156,8292,38422
6/30/2018,8016,7206,30768
7/1/2018,8453,7755,31335
7/2/2018,8667,7757,32105
7/3/2018,7120,6234,27838
7/4/2018,7703,6727,32927
7/5/2018,7546,6706,31268
7/6/2018,8998,8097,35361
7/7/2018,7409,6716,28440
7/8/2018,7300,6640,28445
7/9/2018,7273,6437,30495
7/10/2018,7129,6317,30661
7/11/2018,7062,6159,29900
7/12/2018,8952,8037,33756
7/13/2018,9207,8260,38662
7/14/2018,8768,7858,34329
7/15/2018,7998,7213,33990
7/16/2018,8285,7346,34675
7/17/2018,7388,6467,31252
7/18/2018,12897,11335,44196
7/19/2018,11187,9688,50113
7/20/2018,11211,10013,47785
7/21/2018,11083,9980,44976
7/22/2018,9754,8673,40532
7/23/2018,10549,9211,45916
7/24/2018,9069,7918,38646
7/25/2018,6458,5700,26060
7/26/2018,7221,6434,31529
7/27/2018,10203,9133,42147
7/28/2018,11186,10148,42128
7/29/2018,10280,9305,40440
7/30/2018,13480,11906,54698
7/31/2018,11812,10623,51690
8/1/2018,11929,10600,47915
8/2/2018,11421,10154,47904
8/3/2018,11548,10367,49317
8/4/2018,11499,10403,45810
8/5/2018,10227,9301,40678
8/6/2018,9273,8320,38954
8/7/2018,9600,8494,40442
8/8/2018,10098,8933,42078
8/9/2018,9880,8632,42303
8/10/2018,11194,10078,46175
8/11/2018,10768,9750,42114
8/12/2018,9851,8768,40901
8/13/2018,9318,8290,40137
8/14/2018,9932,8876,39514
8/15/2018,9256,8128,39077
8/16/2018,9593,8479,41286
8/17/2018,12146,10932,46198
8/18/2018,10859,9690,42607
8/19/2018,9145,8294,38303
8/20/2018,8234,7276,36342
8/21/2018,9029,8014,39118
8/22/2018,9356,8312,40484
8/23/2018,9797,8688,41319
8/24/2018,10830,9726,45398
8/25/2018,10255,9150,40963
8/26/2018,10777,9814,43073
8/27/2018,9786,8845,39320
8/28/2018,8380,7390,35516
8/29/2018,8187,7165,36460
8/30/2018,8188,7255,36015
8/31/2018,10133,9051,44176
9/1/2018,11233,10206,42990
9/2/2018,9766,8826,38300
9/3/2018,8273,7341,34850
9/4/2018,8414,7510,35138
9/5/2018,9231,8308,39365
9/6/2018,8526,7616,37464
9/7/2018,10372,9305,43465
9/8/2018,11517,10424,45714
9/9/2018,10401,9336,40042
9/10/2018,9760,8761,38840
9/11/2018,9964,8898,39132
9/12/2018,8933,8022,37978
9/13/2018,8754,7670,38535
9/14/2018,10259,9039,41476
9/15/2018,10184,9120,40223
9/16/2018,9709,8905,36345
9/17/2018,10175,8992,43232
9/18/2018,9560,8632,41474
9/19/2018,8926,7911,37820
9/20/2018,9352,8387,41449
